Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2020-01-02,72.79600524902344,72.85659789407896,71.54537216748977,71.79985831809775,135480400
2020-01-03,72.0882797241211,72.8517455706424,71.86287686024052,72.02041625768727,146322800
2020-01-06,72.66272735595703,72.70150755258545,70.95401700998774,71.20608458978934,118387200
2020-01-07,72.32097625732422,72.9293215125039,72.10041809515171,72.67240923493256,108872000
2020-01-08,73.48435974121094,73.78732306103302,72.02286498225183,72.02286498225183,132079200
2020-01-09,75.04521179199219,75.23910531783788,74.21388238999704,74.46594249428365,170108400
2020-01-10,75.21487426757812,75.78202805010778,74.71074661224186,75.2803190714048,140644800
2020-01-13,76.82179260253906,76.84845721797936,75.41361983783602,75.53238647587344,121532000
2020-01-14,75.7844467163086,76.96964264584395,75.66084272483062,76.75878138146395,161954400
2020-01-15,75.45965576171875,76.4679182657421,75.02581035091664,75.58326712486469,121923600
2020-01-16,76.40491485595703,76.51641067102332,75.64144885255202,76.00500479670342,108829200
2020-01-17,77.25079345703125,77.253212133664,76.34674834560415,76.65455638252,137816400
2020-01-21,76.72728729248047,77.32109101550805,76.58913423087549,76.87755592935629,110843200
2020-01-22,77.00115203857422,77.55617545523555,76.90662394261042,77.21443197966312,101832400
2020-01-23,77.3719711303711,77.45195017577431,76.5042802197772,77.05446622858818,104472000
2020-01-24,77.14899444580078,78.36569234251847,76.95751957755354,77.61919405852058,146537600
2020-01-27,74.88040161132812,75.56388109821151,73.89395147066809,75.14942943338237,161940000
2020-01-28,76.99871826171875,77.1707993206053,75.66567993131815,75.76505276717205,162234000
2020-01-29,78.6104965209961,79.46121987792021,77.89308146084672,78.63716113897716,216229200
2020-01-30,78.49657440185547,78.54989623607841,77.25563796528307,77.6894834620713,126743200
2020-01-31,75.01611328125,78.20812936709012,74.72042090656772,77.78398089337324,199588400
2020-02-03,74.81013488769531,75.98078201621831,73.24926711862054,73.75339487793374,173788400
2020-02-04,77.27987670898438,77.47135157736116,76.0147017269092,76.42188260936533,136616400
2020-02-05,77.91004943847656,78.71229570893303,77.30412280540882,78.411751069267,118826800
2020-02-06,78.82133483886719,78.82376091158548,77.62160489685358,78.1814803491059,105425600
2020-02-07,77.74994659423828,78.56867278048205,77.25676690083851,78.31843889494655,117684000
2020-02-10,78.11924743652344,78.11924743652344,76.24856854462318,76.32873742556914,109348800
2020-02-11,77.6479263305664,78.69016619390229,77.4292765293241,78.61728539819471,94323200
2020-02-12,79.49187469482422,79.49673094210661,78.09979248720818,78.09979248720818,113730400
2020-02-13,78.92581176757812,79.25379012572942,78.55653676962524,78.76061038013486,94747600
2020-02-14,78.94525146484375,79.19548537647773,78.43506373229454,78.89422750170591,80113600
2020-02-18,77.49974060058594,77.68195002206068,76.43320456144275,76.61541398291747,152531200
2020-02-19,78.62212371826172,78.85292520890516,77.74266105137688,77.74266105137688,93984000
